Species.x	Group.x	Median_S.x	LCI_S.x	UCI_S.x	Median_W.x	LCI_W.x	UCI_W.x	Median_diff.x	LCI_diff.x	UCI_diff.x	Group.y	Median_S.y	LCI_S.y	UCI_S.y	Median_W.y	LCI_W.y	UCI_W.y	Median_diff.y	LCI_diff.y	UCI_diff.y	Group	Median_S	LCI_S	UCI_S	Median_W	LCI_W	UCI_W	Median_diff	LCI_diff	UCI_diff	eBird.English.Name.2021	eBird.Scientific.Name.2021	Species.y	jetz.eng.name	Diet.Guild	Family	bodymass	size
Greater Racket-tailed Drongo	0	41.73125	39.0365625	46	46	43.75	46.75	-4.25	-7	0	2	687.25	664.333333333333	702	603	580.8625	637.875	78.9166666666666	42.859375	107.00625	1	1163.75	1148.75	1183.485	1191.9375	1186.75	1209.6253125	-29.1	-48.5451041666658	-7.99312499999999	Greater Racket-tailed Drongo	Dicrurus paradiseus	Dicrurus paradiseus	Greater Racket-tailed Drongo	Invertebrate	Dicruridae (Drongos)	85.81999996113983	Blackbird sized
Pied Bushchat	2	333.025	324.9909375	346.393125	265.75	248.666666666667	280.52125	67.8625	50.39	88.8596875	2	1459.33333333333	1442.83333333333	1505.83	873.5	851.25	911.25	588.645833333333	542.615625	644.851875	2	2248	2248	2248	2215.81666666667	2210.65	2218.35	32.1833333333334	29.6500000000001	37.3499999999999	Pied Bushchat	Saxicola caprata	Saxicola caprata	Pied Bushchat	Invertebrate	Muscicapidae (Old World Flycatchers)	15.200000001932922	Sparrow sized
Asian Emerald Dove	0	63.8395833333333	55.25	72.725625	65.025	55.848125	69.4191875	-0.614583333333329	-10.3376041666667	11.0878125	1	771.5	726	797.5	860.375	795.875	896.40625	-86.5	-148.877916666667	-20.4739583333334	2	1702.41666666667	1676.10791666667	1724.4	1648.8175	1630.6	1649.8	54.2666666666663	27.3482916666663	81.1304374999997	Asian Emerald Dove	Chalcophaps indica	Chalcophaps indica	not found	Omnivore	Columbidae (Pigeons and Doves)	136.54000015227444	Cuckoo sized
Heart-spotted Woodpecker	1	34.00625	31.3671875	42.5195	47.4375	46	51.6783333333333	-13.25	-18.9516666666667	-5.3095625	0	507.875	437.75	591.75	478.958333333333	266.478125	530	52	-62.2525	256.9	2	1219.45	1205.75	1228.7	1140.37083333333	1094.81072916667	1163.9875	75.0333333333331	46.8465624999999	123.45	Heart-spotted Woodpecker	Hemicircus canente	Hemicircus canente	Heart-spotted Woodpecker	Invertebrate	Picidae (Woodpeckers)	43.01000004416016	Bulbul sized
Puff-throated Babbler	0	140.533333333333	124.5	162.664375	132.18125	120.8053125	178.256145833333	5.53124999999999	-41.3271875	32.3554166666667	2	1035	997.375	1058.25	936.666666666667	905.5	971.25	93	47.25	140.044791666667	1	1584.6875	1570.2575	1590.58333333333	1634.5	1616.65458333333	1638.0109375	-48.3125	-61.0973124999998	-31.6981250000005	Puff-throated Babbler	Pellorneum ruficeps	Pellorneum ruficeps	Puff-throated Babbler	Invertebrate	Pellorneidae (Ground Babblers and Allies)	26.000000001747043	Bulbul sized
Black-throated Munia	0	27.6875	21.3333333333333	40.75	38.25	32.75	44.8353125	-8.7125	-19.5544791666667	8	0	801	754.708333333333	852.2	797	758.166666666667	810.75	9.43750000000006	-41.9666666666666	63.5854166666666	2	1510.025	1366.973125	1518	1252.425	1215.75	1265.54166666667	256.25	113.502083333333	291.496875	Black-throated Munia	Lonchura kelaarti	Lonchura kelaarti	Black-throated Munia	Plant & Seed	Estrildidae (Waxbills and Allies)	14.100000011188591	Sparrow sized
Malabar Parakeet	2	66.40625	59.4979166666667	73.5	55.25	50.2221875	55.25	12.7354166666667	4.24791666666667	19.45	1	794.25	794.25	817.75	875.5	867	881.666666666667	-79.75	-87.4166666666666	-57.6899999999999	1	1223.8125	1220.25	1241	1312	1305.775	1312	-87.4450000000001	-91.75	-71	Malabar Parakeet	Psittacula columboides	Psittacula columboides	Malabar Parakeet	Plant & Seed	Psittaculidae (Old World Parrots)	86.9900000313412	Blackbird sized
Brown-cheeked Fulvetta	1	123.1875	112.666666666667	167.1890625	201.183333333333	156.591041666667	237.625625	-69.4520833333333	-116.3553125	-18.94375	2	1209.75	1187.65729166667	1257.25	1090	1089.75	1096	119.75	91.6010416666667	162.375	1	1632.175	1624.86145833333	1633.2285	1640.93333333333	1639.73614583333	1647.68333333333	-9	-17.5467708333333	-6.96874999999997	Brown-cheeked Fulvetta	Alcippe poioicephala	Alcippe poioicephala	Brown-cheeked Fulvetta	Invertebrate	Leiothrichidae (Laughingthrushes and Allies)	20.699999978221694	Sparrow sized
Blue-bearded Bee-eater	2	86.7125	77.6875	113.5	54.35	50.65	77.6675	30.31875	3.60760416666668	59.75625	2	859.333333333333	702.666666666667	901.25	504.25	479.5	607.5	351.604166666667	203.933541666667	403	2	1635	1594.66666666667	1669.7	1318.79583333333	1282.473125	1344.74166666667	319.116666666666	268.762291666667	368.859270833334	Blue-bearded Bee-eater	Nyctyornis athertoni	Nyctyornis athertoni	Blue-bearded Bee-eater	Invertebrate	Meropidae (Bee-eaters)	84.23000005982523	Blackbird sized
Malabar Woodshrike	0	55.25	49.75	63	55.25	55.25	62.4259375	0	-7.25125	7.75	1	687.25	615.84125	738.666666666667	782.25	735.98125	837.5	-97.1875	-192.30625	-16.4468750000001	1	1230.75	1230.75	1255.1875	1276	1239.487875	1284.525	-44.8899999999999	-53.95	-5.92499999999905	Malabar Woodshrike	Tephrodornis sylvicola	Tephrodornis gularis	not found	Invertebrate	Vangidae (Vangas, Helmetshrikes, and Allies)	37.80000001416754	Bulbul sized
Malabar Imperial-Pigeon	0	97.3333333333333	91.25	107.5	77.6666666666667	74	101.25	17.1333333333333	-9.80416666666667	29.825	1	968	957.666666666667	1000.75	1046.66666666667	1015.25	1067.75	-74.1875	-104.25	-23.8333333333334	2	1616.75	1608.5	1616.75	1494.85	1480.44	1528.4	121.516666666667	88.3450000000006	136.24	Malabar Imperial-Pigeon	Ducula cuprea	Ducula badia	not found	NA	NA	485.9899999217727	Larger
Greater Flameback	0	72.5625	68.3333333333333	76.6666666666667	64.1854166666667	55.25	72.3025	8.74375	-1.40450000000001	18.75	0	857.25	813.74375	863	832	810.75	860.25	21.9166666666667	-17.75	49.75	2	1843.86666666666	1818.3890625	1856.2128125	1630.9125	1608	1650.505	211.383333333333	178.2691875	248.0878125	Greater Flameback	Chrysocolaptes guttacristatus	Chrysocolaptes lucidus	Greater Flameback	Invertebrate	Picidae (Woodpeckers)	141.99999987475314	Cuckoo sized
Lesser Yellownape	0	49.3666666666667	46	63.325	55.25	52.7444791666667	72.375	-7.29166666666667	-22.7070833333333	5.47718750000001	0	479.5	375	526.25	517	479.5	606.75	-48.6875	-193.308125	23.000625	2	1396.6	1325.375	1429.46697916667	1243.45	1227.61197916667	1248.875	156.3375	81.1596875000002	193.019166666667	Lesser Yellownape	Picus chlorolophus	Picus chlorolophus	Lesser Yellownape	Invertebrate	Picidae (Woodpeckers)	65.40999998012441	Blackbird sized
Banded Bay Cuckoo	0	63.91875	55.25	71.3983125	55.25	42.5	55.25	9.67916666666667	0	25.2429375	0	245.875	177.038541666667	522.5	161	126.5	363.25	75.75	-130.220833333333	349.563541666667	2	1204.35	1034.795625	1232.8875	916.075	892.274375	941.9625	285.0375	118.8509375	326.5853125	Banded Bay Cuckoo	Cacomantis sonneratii	Cacomantis sonneratii	Banded Bay Cuckoo	Invertebrate	Cuculidae (Cuckoos)	33.79999997839085	Bulbul sized
Speckled Piculet	0	112.95	84.25	297.5375	368.7	183.075	687.25	-241.2125	-583.5671875	31.8125	0	1052	996.5	1090	1019	887.75	1081.83854166667	32.9583333333335	-61.8020833333332	185.552083333333	1	1618.475	1616.725	1650.375	1980.59166666667	1960.625	1990.575	-361.941666666667	-373.15	-325.313541666667	Speckled Piculet	Picumnus innominatus	Picumnus innominatus	Speckled Piculet	Invertebrate	Picidae (Woodpeckers)	10.200000005591692	Sparrow sized
Green Imperial-Pigeon	0	33.65	32.75	39.9203125	44.1416666666667	35	47.5753125	-9.9125	-14.613125	1.35375	0	472.333333333333	254.25	497.625	461	287.746875	496.25	14.875	-202.759375	194.617708333333	2	1219.02916666667	1190.7203125	1224.775	955.622916666666	914.94125	1076.0464375	262.733333333333	138.307270833335	305.226770833333	Green Imperial-Pigeon	Ducula aenea	Ducula aenea	not found	Fruit & Nect	Columbidae (Pigeons and Doves)	544.9999996528387	Larger
White-bellied Drongo	0	171.5	124.5	220.6508125	143.5	143.5	250.85	9.80000000000001	-99.14375	68.5378125	0	660.875	546	702.666666666667	550.25	527.5	583.5	111.333333333333	-13.0572916666667	166.675	2	1329.5125	1229.775	1414.5	1020.525	997.75	1043.53510416667	311.999999999999	208.984479166667	410.962916666667	White-bellied Drongo	Dicrurus caerulescens	Dicrurus caerulescens	White-bellied Drongo	Invertebrate	Dicruridae (Drongos)	39.99999996979354	Bulbul sized
Nilgiri Wood-Pigeon	2	850.29375	825.75	1058.6	783.025	662.316666666667	878.8159375	76.9729166666667	0.279375000000004	319.919583333333	0	1621.8	1614	1630.66666666667	1571.25	1554	1649.8	55.5250000000001	-28	75	2	2304.43333333333	2285.125	2323.74166666667	2190.66666666667	2185.96666666667	2211.87083333333	110.7375	87.3098958333333	133.45	Nilgiri Wood-Pigeon	Columba elphinstonii	Columba elphinstonii	not found	Fruit & Nect	Columbidae (Pigeons and Doves)	379.0000000278626	Larger
Indian White-eye	2	748.0125	729.0615625	756.5	702.666666666667	681.101875	720.666666666667	42.4416666666667	13.59625	68.5064375	2	1305.33333333333	1301.33333333333	1311.33333333333	1218.625	1203.25	1230.75	91.6458333333333	74.5833333333333	103.136458333333	1	2183.5	2183.5	2188.25	2210.63333333333	2205.66666666667	2213.7125	-26.979166666667	-29.9749999999995	-21.874375	Indian White-eye	Zosterops palpebrosus	Zosterops palpebrosus	not found	Omnivore	Zosteropidae (White-eyes, Yuhinas, and Allies)	8.599999995176814	Sparrow sized
Brown-capped Pygmy Woodpecker	0	57.8	53.8675	73.3340625	55.25	54.0820833333333	61.051875	2.35	-4.40062499999999	18.1383333333333	2	767.75	725.709375	810.75	617.666666666667	551.5	720.666666666667	145.5	24.7479166666667	217.25625	1	1230.75	1230.75	1234.85	1326.19333333333	1287.67135416667	1477.13333333333	-95.4433333333284	-246.383333333332	-56.1861458333334	Brown-capped Pygmy Woodpecker	Yungipicus nanus	Dendrocopos nanus	not found	Invertebrate	Picidae (Woodpeckers)	16.150000012378666	Sparrow sized
Red Spurfowl	2	91.25	78.194375	104.408020833333	52.25	47.074375	55.25	39.9	24.921875	53.8985416666667	2	957.166666666667	938	993.784375	868.5	825.25	912.791666666667	86.3958333333333	41.6208333333333	135.510416666667	2	1619	1594.25	1629.2	1546	1488.6	1559.4125	71.6287499999997	41.6590624999999	126.998125000001	Red Spurfowl	Galloperdix spadicea	Galloperdix spadicea	Red Spurfowl	Omnivore	Phasianidae (Pheasants, Grouse, and Allies)	359.0700002489884	Larger
Bay-backed Shrike	0	265.75	265.75	277.5	265.75	265.75	278.531041666667	0	-11.75	11.75	0	619	531.291666666667	702.666666666667	618	577.583333333333	619	3.75	-73.375	102.333333333333	2	1306.0125	1075.89583333333	1564.9978125	997.25	978.0846875	999.925625	308.762500000002	78.0782291666633	573.049374999999	Bay-backed Shrike	Lanius vittatus	Lanius vittatus	Bay-backed Shrike	Invertebrate	Laniidae (Shrikes)	20.800000001783488	Sparrow sized
Southern Hill Myna	2	74	73.25	78.614375	55.25	55.25	55.25	18.75	16.75	23.364375	1	861.625	852.2	870.471875	879.875	870.871875	884.333333333333	-16.6125	-28.225625	-5.57500000000004	2	1560.2	1554	1563.8	1430.5	1418.88375	1449.9375	129.16875	108.874625	140.6461875	Southern Hill Myna	Gracula indica	Gracula religiosa	not found		Sturnidae (Starlings)	192.00000013105966	Cuckoo sized
Yellow-billed Babbler	1	65.7625	54.5086875	72.0503125	83.5916666666667	77.8863541666667	91.1890625	-18.9208333333333	-31.1884375	-7.68322916666667	1	419.333333333333	415.5	419.333333333333	456.375	426.666666666667	461.666666666667	-37.6666666666667	-46	-8.90729166666669	2	957.5	942.6621875	962.633541666667	934.666666666667	917.31375	949.8009375	21.7583333333336	3.67343749999995	39.3079166666668	Yellow-billed Babbler	Argya affinis	Turdoides affinis	Yellow-billed Babbler	Omnivore	Leiothrichidae (Laughingthrushes and Allies)	63.27999992865864	Blackbird sized
White-bellied Treepie	2	76.6333333333333	59.1475	91.25	52.25	47.9995833333333	55.025625	26.2879166666667	8.17072916666667	42.5166666666667	1	860.25	833	878.25	948.5	919	961.404166666667	-90.6041666666667	-124.6875	-52.75	1	1190.39791666667	1161.065	1198.33333333333	1277.1	1229.325	1292.075	-89.4437499999999	-122.2515625	-44.982604166666	White-bellied Treepie	Dendrocitta leucogastra	Dendrocitta leucogastra	White-bellied Treepie	Omnivore	Corvidae (Crows, Jays, and Magpies)	99.19999996478306	Blackbird sized
Jerdon's Bushlark	0	113.133333333333	102.8853125	145.6625	143.5	136.325	143.5	-30.2416666666667	-40.6146875	2.16250000000002	0	479.5	479.5	489.25	479.5	479.5	479.5	0	0	9.75	2	937.8	924.25	958.1	868.45	823.466666666667	914.25	69.2416666666669	20.415	114.407291666667	Jerdon's Bushlark	Mirafra affinis	Mirafra affinis	Jerdon's Bushlark	Omnivore	Alaudidae (Larks)	26.199999980710476	Bulbul sized
Indian Yellow Tit	0	584.8	563.375	606.333333333333	613	590.425625	637	-30.7208333333334	-63.6595833333333	4.38781249999993	0	1073.70833333333	1035	1100.5	1026.75	1004.225	1058.25	44.875	-5.12291666666659	85.253125	2	2150.05	2142.53333333333	2157.0125	2125.5	2125.5	2125.5	24.5499999999997	17.0333333333328	31.5124999999998	Indian Yellow Tit	Machlolophus aplonotus	Parus xanthogenys	not found	Invertebrate	Paridae (Tits, Chickadees, and Titmice)	14.75999998344797	Sparrow sized
Common Flameback	0	190.3125	93	434.289875	80.5416666666667	75.2	145.9153125	105.633333333333	-6.50437500000002	344.1773125	0	1005.5	994.25	1096	961.333333333333	897.25	1036	47.2083333333334	-31.2625	145.416666666667	2	1411.75	1377.67916666667	1411.75	1135.6	1096	1149.06	276.15	243.485395833333	315.75	Common Flameback	Dinopium javanense	Dinopium javanense	Common Flameback	Invertebrate	Picidae (Woodpeckers)	72.75999993441866	Blackbird sized
Streak-throated Woodpecker	2	250.9875	118.325	473.330625	84.9625	68.3333333333333	136.61375	166.1375	14.3392708333333	386.174166666667	0	1191.75	1177.33333333333	1220.25	1146	1139	1177.33333333333	38.3333333333333	0	74.25	1	1888	1884.55	1892.52916666667	1967.45	1958.46666666667	1977.9184375	-79.2979166666665	-90.8240625000001	-68.8092708333329	Streak-throated Woodpecker	Picus xanthopygaeus	Picus xanthopygaeus	Streak-throated Woodpecker	Invertebrate	Picidae (Woodpeckers)	99.69000000037336	Blackbird sized
Nilgiri Flycatcher	0	1123	1096	1220.96	1077.775	1058.2421875	1122.961	49.2791666666667	-0.326875000000041	152.6271875	2	1619	1616.75	1619	1580	1563.8	1603.5	39	13.25	52.95	2	2258.4	2254.53333333333	2260.55	2225.75	2225.75	2225.75	32.6500000000001	28.7833333333328	34.8000000000002	Nilgiri Flycatcher	Eumyias albicaudatus	Eumyias albicaudatus	Nilgiri Flycatcher	Invertebrate	Muscicapidae (Old World Flycatchers)	16.39999999819881	Sparrow sized
Yellow-crowned Woodpecker	0	104.75	78.3875	124.5	124.5	93.7	200.65	-18.4	-96.9375	22.125	0	544	489.25	685.25	539	489.25	653.75	1.82499999999999	-118.325	155.825	1	1399.95	1229.375	1422.75	1639.63333333333	1585.53333333333	1702.7	-249.75	-419.05	-175.883333333333	Yellow-crowned Woodpecker	Leiopicus mahrattensis	Dendrocopos mahrattensis	Yellow-crowned Woodpecker	Invertebrate	Picidae (Woodpeckers)	34.29999999662205	Bulbul sized
Laughing Dove	0	265.75	254.375	265.75	265.75	265.75	284	-1.3125	-18.25	0	1	489.25	489.25	489.425	535.75	514	570.333333333333	-45.7	-81.0833333333334	-24.75	2	1015.12083333333	983.923958333333	1034.26666666667	945.875	934.666666666667	961.180416666667	67.5812499999997	34.4699375	95.2726041666667	Laughing Dove	Spilopelia senegalensis	Stigmatopelia senegalensis	Laughing Dove	Plant & Seed	Columbidae (Pigeons and Doves)	82.13000003265685	Blackbird sized
Gray-headed Canary-Flycatcher	2	1096	1069.5	1140.109375	991.425	950.764166666667	1019.75	105.4875	63.8865624999999	172.2546875	1	1451	1451	1464.5	1525.25	1501.375	1543.659375	-74.25	-92.6375	-45.24375	1	2183.5	2183.5	2183.5	2271.33333333333	2262.53333333333	2271.33333333333	-87.8333333333335	-87.8333333333335	-79.0333333333333	Gray-headed Canary-Flycatcher	NA	NA	NA	Invertebrate	Stenostiridae (Fairy Flycatchers)	NA	unknown
Nilgiri Sholakili	1	1571.225	1571.225	1682.33333333333	1790.4	1790.4	1824.45	-219.175	-253.225	-108.066666666667	1	2114.75	2114.75	2114.75	2137.5	2137.5	2165.91666666667	-22.75	-51.166666666667	-22.75	2	2413.93333333333	2413.93333333333	2414	2324.3	2324.3	2330.92083333333	89.6333333333332	83.0125000000003	89.6999999999998	Nilgiri Sholakili	Sholicola major	Myiomela major	not found	Invertebrate	Muscicapidae (Old World Flycatchers)	38.46000000863779	Bulbul sized
Wayanad Laughingthrush	0	526.25	522.9	695.625	538.45	411.2128125	765.7525	20.31875	-220.905625	221.4675	0	1069.5	997.25	1132.66666666667	1168.75	1110	1202	-94.25	-190.40625	8.00520833333333	2	1548.725	1471.9	1563.8	1319.275	1302.99125	1328.65	230.4875	153.25	259.05875	Wayanad Laughingthrush	Pterorhinus delesserti	Garrulax delesserti	not found	Invertebrate	Leiothrichidae (Laughingthrushes and Allies)	91.99999992679832	Blackbird sized
Dollarbird	0	34.9333333333333	19.6666666666667	48.4770833333333	39.375	29.375	46.28125	-3.1125	-24.7583333333333	13.8229166666667	2	198	104	285.5	55.25	55.25	71.5416666666667	142.75	39.6666666666667	230.25	2	1422.76666666666	1125.66666666667	1670.35	1024.8	765	1090	418.799999999999	95.9666666666668	777.654166666667	Dollarbird	Eurystomus orientalis	Eurystomus orientalis	not found	Invertebrate	Coraciidae (Rollers)	143.02000009719734	Cuckoo sized
Nilgiri Laughingthrush	0	1751.025	1748.85	1788.1	1777	1777	1781.75	-25.9749999999999	-32.9000000000001	11.1000000000001	1	2122.5	2122.5	2125.75	2170.75	2170.75	2182.54166666667	-48.25	-60.041666666667	-45	1	2468.75	2468.75	2469.25	2480.5	2480.5	2483.325	-11.75	-14.5749999999998	-11.25	Nilgiri Laughingthrush	Montecincla cachinnans	Strophocincla cachinnans	not found	Invertebrate	Leiothrichidae (Laughingthrushes and Allies)	78.64000003185491	Blackbird sized
Palani Laughingthrush	0	1432.6	1423.5125	1443.8	1410.775	1398.33333333333	1433.33333333333	21.25	-7.86395833333335	35.2208333333334	1	1620.4	1619	1628	1653.5	1653.5	1657	-33.9333333333332	-36.7525	-25.5	1	2209.8125	2208.5875	2211.9375	2293.125	2292.33333333333	2293.91666666667	-83.1812500000003	-84.8499999999999	-80.8166666666666	Palani Laughingthrush	Montecincla fairbanki	Strophocincla fairbanki	not found	Fruit & Nect	Leiothrichidae (Laughingthrushes and Allies)	45.50000003592353	Bulbul sized
White-bellied Sholakili	2	1411.75	1411.75	1411.75	1386.46666666667	1378.7	1409.8	25.2833333333333	1.95000000000005	33.0500000000002	1	1672.125	1659	1685.25	1903.33333333333	1898.54166666667	1911.5	-231.208333333333	-246	-213.291666666667	2	2191.1625	2188.0125	2196.01666666667	2175	2175	2175	16.1624999999999	13.0124999999998	21.0166666666664	White-bellied Sholakili	Sholicola albiventris	Myiomela albiventris	not found	Invertebrate	Muscicapidae (Old World Flycatchers)	38.46000000863779	Bulbul sized
