"Value","Std.Error","t-value","p-value","dataset","Variable"
-311.277408743439,62.5055515515092,-4.97999619260896,2.56716279345041e-06,"05.q1.sam30","(Intercept)"
28.0526914528125,5.06472512642609,5.53883789397427,2.34450468454339e-07,"05.q1.sam30","ThermalRegime"
1.44968270376301,0.860745127825513,1.68421830911238,0.0951676405694053,"05.q1.sam30","HWI"
-8.36215901007014,23.8230135716265,-0.351011805661294,0.726296432214376,"05.q1.sam30","Dietinvertebrates"
-3.21479998451888,25.9052354275846,-0.124098466254265,0.901479172016203,"05.q1.sam30","Dietomnivore"
-71.6922260887669,37.9477934259596,-1.88923306512265,0.0616731048814496,"05.q1.sam30","Dietseeds"
8.87592110673805,54.7676640318683,0.16206499334303,0.871572173737423,"05.q1.sam30","Dietvertebrates"
-0.000114237989603465,0.0196622932802145,-0.0058100033386451,0.995375552215518,"05.q1.sam30","bodymass"
-412.021179349513,73.1803746047699,-5.63021413288389,2.51266268289823e-07,"05.q1.sam60","(Intercept)"
37.4034320871012,5.83191466450493,6.41357671345083,8.90583572788289e-09,"05.q1.sam60","ThermalRegime"
1.74855581535307,1.00631772599105,1.73757827194294,0.086085869025514,"05.q1.sam60","HWI"
-12.4003947898859,27.3376015800939,-0.453602147706891,0.651328160831814,"05.q1.sam60","Dietinvertebrates"
-1.50815478013692,29.281846667654,-0.0515047700800543,0.959050105461107,"05.q1.sam60","Dietomnivore"
-82.5829699785997,51.4684610906487,-1.60453544226144,0.112488289900635,"05.q1.sam60","Dietseeds"
19.9978635052918,69.294623093591,0.288591850456884,0.773630978500722,"05.q1.sam60","Dietvertebrates"
0.0020353615795125,0.0224815529805437,0.0905347411397236,0.928085794763178,"05.q1.sam60","bodymass"
-268.023665481332,54.7267688080582,-4.89748748772953,2.96322085060251e-06,"05.q2.sam30","(Intercept)"
23.9136330374432,4.51861778289032,5.29224514806095,5.29629916248288e-07,"05.q2.sam30","ThermalRegime"
1.3645852533785,0.713244898862886,1.91320716846912,0.0580270559958322,"05.q2.sam30","HWI"
-6.51297705180827,19.0019741159318,-0.342752653596533,0.732364889091219,"05.q2.sam30","Dietinvertebrates"
6.8984528506029,21.3562433719033,0.323018085646965,0.747225611435649,"05.q2.sam30","Dietomnivore"
-33.8045365308109,31.3459430853437,-1.07843418329362,0.282933423516888,"05.q2.sam30","Dietseeds"
8.78669400264017,47.835796589735,0.183684492138795,0.854561004011907,"05.q2.sam30","Dietvertebrates"
-0.00163019493431242,0.0171158544091243,-0.0952447301399911,0.924274188827263,"05.q2.sam30","bodymass"
-304.322238046773,53.4078658563375,-5.6980789845708,1.04329232198962e-07,"05.q2.sam60","(Intercept)"
28.3355171896949,4.49391046906606,6.30531413225588,6.28559027876026e-09,"05.q2.sam60","ThermalRegime"
1.13789627935856,0.710821632580628,1.60081830265554,0.112311584032839,"05.q2.sam60","HWI"
-6.10629185202146,18.9623282251434,-0.322022263274861,0.748052602982578,"05.q2.sam60","Dietinvertebrates"
2.36460989613498,20.6779898345904,0.114353953892531,0.909167591343305,"05.q2.sam60","Dietomnivore"
-26.6231737789396,31.2854959487078,-0.850974963688858,0.396648840291354,"05.q2.sam60","Dietseeds"
7.04057021388419,45.4838091595535,0.154792888809872,0.877270865375475,"05.q2.sam60","Dietvertebrates"
-0.00144656483907569,0.0162269820682752,-0.0891456484631123,0.929129750417699,"05.q2.sam60","bodymass"
-179.877219398161,50.120659977113,-3.58888369547208,0.000467977951257657,"05.q3.sam30","(Intercept)"
15.7081061284653,4.18534371304166,3.75312213415551,0.000261424102322975,"05.q3.sam30","ThermalRegime"
1.0175473180457,0.605976176050983,1.67918700150365,0.0954992360787855,"05.q3.sam30","HWI"
-3.84131318165402,16.5887627650879,-0.231561161977571,0.817240185997861,"05.q3.sam30","Dietinvertebrates"
12.4318651494193,19.0267514679887,0.653388739025427,0.514650877947989,"05.q3.sam30","Dietomnivore"
-21.4582110366632,25.5648893062295,-0.839362564008223,0.40279502971318,"05.q3.sam30","Dietseeds"
7.56276507240499,42.6678980328906,0.177247191004704,0.859587990912598,"05.q3.sam30","Dietvertebrates"
-0.00245278198331114,0.0152575896618273,-0.160758156279934,0.872531525311883,"05.q3.sam30","bodymass"
-213.929873578857,44.0235314556656,-4.85944372259861,3.6581069173114e-06,"05.q3.sam60","(Intercept)"
19.6440250420191,3.75323166399308,5.23389622614442,7.31092574850262e-07,"05.q3.sam60","ThermalRegime"
0.786520253396552,0.545465870533441,1.44192385974098,0.151972684287137,"05.q3.sam60","HWI"
4.09981472168422,14.382987712012,0.285046111682362,0.776108506243156,"05.q3.sam60","Dietinvertebrates"
11.2595320630107,16.0826742772699,0.700103220950265,0.485240858833069,"05.q3.sam60","Dietomnivore"
-10.9574960202328,24.5810465588944,-0.445770117801104,0.656580128968868,"05.q3.sam60","Dietseeds"
9.60090307813522,36.0308134713594,0.266463677978486,0.790347199406242,"05.q3.sam60","Dietvertebrates"
-0.00243362748341482,0.012895038253376,-0.188725883211528,0.850631867804509,"05.q3.sam60","bodymass"
-1684.94730689334,82.4594593757407,-20.4336448437721,5.07372116601943e-38,"95.q1.sam30","(Intercept)"
129.117567630728,5.79378215553174,22.2855406303895,3.42050819202573e-41,"95.q1.sam30","ThermalRegime"
0.138727011975411,0.766493636281568,0.180989124252103,0.856731772095898,"95.q1.sam30","HWI"
-8.60029636824167,21.4179771544128,-0.401545687822799,0.688850323455658,"95.q1.sam30","Dietinvertebrates"
-6.00192894578045,23.1364420539611,-0.259414517227072,0.795833213324249,"95.q1.sam30","Dietomnivore"
