Species	Group.x	Median_S.x	LCI_S.x	UCI_S.x	Median_W.x	LCI_W.x	UCI_W.x	Median_diff.x	LCI_diff.x	UCI_diff.x	Group.y	Median_S.y	LCI_S.y	UCI_S.y	Median_W.y	LCI_W.y	UCI_W.y	Median_diff.y	LCI_diff.y	UCI_diff.y	Group	Median_S	LCI_S	UCI_S	Median_W	LCI_W	UCI_W	Median_diff	LCI_diff	UCI_diff
Thick-billed Flowerpecker	0	21.3333333333333	21.1708333333333	21.3333333333333	39.7125	17.9246875	55.25	-18.4041666666667	-33.9166666666667	3.40833333333333	0	541.875	479.5	597.916666666667	607.5	516.5	619	-52.4375	-139.5	56.05	2	1551.74	1408.4023125	1563.8	1235.6875	1186.9884375	1245.8875	316.77125	168.612500000001	373.785
Tawny-bellied Babbler	0	147.775	124.5	268.7021875	231.7875	167.4	306.0946875	-75.6125	-149.0496875	59.7132499999999	2	764.5	702.666666666667	859.333333333333	623.75	619	702.666666666667	126.9375	31.5583333333334	238.127083333333	1	1617	1538.525	1657.875	1822	1822	1822	-205	-283.475000000002	-164.125
White-breasted Waterhen	0	43.75	40.525	45.750625	45.9333333333333	41.149375	46.75	-2.25	-6.15052083333333	2.1890625	2	479.5	465.45625	581.5	461.5	419.333333333333	476	21.75	1.99583333333333	127.416666666667	2	1489.8575	1458.098875	1516.25	1242.20624999999	1230.5875	1456.7	237.528749999999	25.5265833333333	282.451875
White-rumped Shama	0	101.25	71.12625	234.355416666667	104.004166666667	75.629	302.526875	0.735416666666659	-156.105729166667	129.859645833333	2	825	778.333333333333	870.659375	696.2	687.25	753.140625	107.083333333333	29.1406250000001	176.80375	2	1698.125	1688.9	1729.475	1495.55	1246.2034375	1574.5625	206.408333333334	122.856041666667	459.065104166668
Black-throated Munia	0	27.6875	21.3333333333333	40.75	38.25	32.75	44.8353125	-8.7125	-19.5544791666667	8	0	801	754.708333333333	852.2	797	758.166666666667	810.75	9.43750000000006	-41.9666666666666	63.5854166666666	2	1510.025	1366.973125	1518	1252.425	1215.75	1265.54166666667	256.25	113.502083333333	291.496875
Blue-bearded Bee-eater	2	86.7125	77.6875	113.5	54.35	50.65	77.6675	30.31875	3.60760416666668	59.75625	2	859.333333333333	702.666666666667	901.25	504.25	479.5	607.5	351.604166666667	203.933541666667	403	2	1635	1594.66666666667	1669.7	1318.79583333333	1282.473125	1344.74166666667	319.116666666666	268.762291666667	368.859270833334
Greater Flameback	0	72.5625	68.3333333333333	76.6666666666667	64.1854166666667	55.25	72.3025	8.74375	-1.40450000000001	18.75	0	857.25	813.74375	863	832	810.75	860.25	21.9166666666667	-17.75	49.75	2	1843.86666666666	1818.3890625	1856.2128125	1630.9125	1608	1650.505	211.383333333333	178.2691875	248.0878125
Banded Bay Cuckoo	0	63.91875	55.25	71.3983125	55.25	42.5	55.25	9.67916666666667	0	25.2429375	0	245.875	177.038541666667	522.5	161	126.5	363.25	75.75	-130.220833333333	349.563541666667	2	1204.35	1034.795625	1232.8875	916.075	892.274375	941.9625	285.0375	118.8509375	326.5853125
Speckled Piculet	0	112.95	84.25	297.5375	368.7	183.075	687.25	-241.2125	-583.5671875	31.8125	0	1052	996.5	1090	1019	887.75	1081.83854166667	32.9583333333335	-61.8020833333332	185.552083333333	1	1618.475	1616.725	1650.375	1980.59166666667	1960.625	1990.575	-361.941666666667	-373.15	-325.313541666667
Green Imperial-Pigeon	0	33.65	32.75	39.9203125	44.1416666666667	35	47.5753125	-9.9125	-14.613125	1.35375	0	472.333333333333	254.25	497.625	461	287.746875	496.25	14.875	-202.759375	194.617708333333	2	1219.02916666667	1190.7203125	1224.775	955.622916666666	914.94125	1076.0464375	262.733333333333	138.307270833335	305.226770833333
