Species	Group.x	Median_S.x	LCI_S.x	UCI_S.x	Median_W.x	LCI_W.x	UCI_W.x	Median_diff.x	LCI_diff.x	UCI_diff.x	Group.y	Median_S.y	LCI_S.y	UCI_S.y	Median_W.y	LCI_W.y	UCI_W.y	Median_diff.y	LCI_diff.y	UCI_diff.y	Group	Median_S	LCI_S	UCI_S	Median_W	LCI_W	UCI_W	Median_diff	LCI_diff	UCI_diff
Ashy Prinia	2	267.4375	260.2	284	143.5	131.57875	183.1175	123.410416666667	91.5609375	143.97875	2	702.666666666667	642	767.75	461.5	453.083333333333	479.5	241.166666666667	182.571875	306.25	2	2035.5	2035.5	2035.5	1968.5	1934.86666666667	2006	67	29.5000000000009	100.633333333334
Pied Bushchat	2	333.025	324.9909375	346.393125	265.75	248.666666666667	280.52125	67.8625	50.39	88.8596875	2	1459.33333333333	1442.83333333333	1505.83	873.5	851.25	911.25	588.645833333333	542.615625	644.851875	2	2248	2248	2248	2215.81666666667	2210.65	2218.35	32.1833333333334	29.6500000000001	37.3499999999999
Heart-spotted Woodpecker	1	34.00625	31.3671875	42.5195	47.4375	46	51.6783333333333	-13.25	-18.9516666666667	-5.3095625	0	507.875	437.75	591.75	478.958333333333	266.478125	530	52	-62.2525	256.9	2	1219.45	1205.75	1228.7	1140.37083333333	1094.81072916667	1163.9875	75.0333333333331	46.8465624999999	123.45
Malabar Parakeet	2	66.40625	59.4979166666667	73.5	55.25	50.2221875	55.25	12.7354166666667	4.24791666666667	19.45	1	794.25	794.25	817.75	875.5	867	881.666666666667	-79.75	-87.4166666666666	-57.6899999999999	1	1223.8125	1220.25	1241	1312	1305.775	1312	-87.4450000000001	-91.75	-71
Brown-cheeked Fulvetta	1	123.1875	112.666666666667	167.1890625	201.183333333333	156.591041666667	237.625625	-69.4520833333333	-116.3553125	-18.94375	2	1209.75	1187.65729166667	1257.25	1090	1089.75	1096	119.75	91.6010416666667	162.375	1	1632.175	1624.86145833333	1633.2285	1640.93333333333	1639.73614583333	1647.68333333333	-9	-17.5467708333333	-6.96874999999997
Blue-bearded Bee-eater	2	86.7125	77.6875	113.5	54.35	50.65	77.6675	30.31875	3.60760416666668	59.75625	2	859.333333333333	702.666666666667	901.25	504.25	479.5	607.5	351.604166666667	203.933541666667	403	2	1635	1594.66666666667	1669.7	1318.79583333333	1282.473125	1344.74166666667	319.116666666666	268.762291666667	368.859270833334
Nilgiri Wood-Pigeon	2	850.29375	825.75	1058.6	783.025	662.316666666667	878.8159375	76.9729166666667	0.279375000000004	319.919583333333	0	1621.8	1614	1630.66666666667	1571.25	1554	1649.8	55.5250000000001	-28	75	2	2304.43333333333	2285.125	2323.74166666667	2190.66666666667	2185.96666666667	2211.87083333333	110.7375	87.3098958333333	133.45
Indian White-eye	2	748.0125	729.0615625	756.5	702.666666666667	681.101875	720.666666666667	42.4416666666667	13.59625	68.5064375	2	1305.33333333333	1301.33333333333	1311.33333333333	1218.625	1203.25	1230.75	91.6458333333333	74.5833333333333	103.136458333333	1	2183.5	2183.5	2188.25	2210.63333333333	2205.66666666667	2213.7125	-26.979166666667	-29.9749999999995	-21.874375
Red Spurfowl	2	91.25	78.194375	104.408020833333	52.25	47.074375	55.25	39.9	24.921875	53.8985416666667	2	957.166666666667	938	993.784375	868.5	825.25	912.791666666667	86.3958333333333	41.6208333333333	135.510416666667	2	1619	1594.25	1629.2	1546	1488.6	1559.4125	71.6287499999997	41.6590624999999	126.998125000001
Southern Hill Myna	2	74	73.25	78.614375	55.25	55.25	55.25	18.75	16.75	23.364375	1	861.625	852.2	870.471875	879.875	870.871875	884.333333333333	-16.6125	-28.225625	-5.57500000000004	2	1560.2	1554	1563.8	1430.5	1418.88375	1449.9375	129.16875	108.874625	140.6461875
Yellow-billed Babbler	1	65.7625	54.5086875	72.0503125	83.5916666666667	77.8863541666667	91.1890625	-18.9208333333333	-31.1884375	-7.68322916666667	1	419.333333333333	415.5	419.333333333333	456.375	426.666666666667	461.666666666667	-37.6666666666667	-46	-8.90729166666669	2	957.5	942.6621875	962.633541666667	934.666666666667	917.31375	949.8009375	21.7583333333336	3.67343749999995	39.3079166666668
White-bellied Treepie	2	76.6333333333333	59.1475	91.25	52.25	47.9995833333333	55.025625	26.2879166666667	8.17072916666667	42.5166666666667	1	860.25	833	878.25	948.5	919	961.404166666667	-90.6041666666667	-124.6875	-52.75	1	1190.39791666667	1161.065	1198.33333333333	1277.1	1229.325	1292.075	-89.4437499999999	-122.2515625	-44.982604166666
Streak-throated Woodpecker	2	250.9875	118.325	473.330625	84.9625	68.3333333333333	136.61375	166.1375	14.3392708333333	386.174166666667	0	1191.75	1177.33333333333	1220.25	1146	1139	1177.33333333333	38.3333333333333	0	74.25	1	1888	1884.55	1892.52916666667	1967.45	1958.46666666667	1977.9184375	-79.2979166666665	-90.8240625000001	-68.8092708333329
Gray-headed Canary-Flycatcher	2	1096	1069.5	1140.109375	991.425	950.764166666667	1019.75	105.4875	63.8865624999999	172.2546875	1	1451	1451	1464.5	1525.25	1501.375	1543.659375	-74.25	-92.6375	-45.24375	1	2183.5	2183.5	2183.5	2271.33333333333	2262.53333333333	2271.33333333333	-87.8333333333335	-87.8333333333335	-79.0333333333333
Nilgiri Sholakili	1	1571.225	1571.225	1682.33333333333	1790.4	1790.4	1824.45	-219.175	-253.225	-108.066666666667	1	2114.75	2114.75	2114.75	2137.5	2137.5	2165.91666666667	-22.75	-51.166666666667	-22.75	2	2413.93333333333	2413.93333333333	2414	2324.3	2324.3	2330.92083333333	89.6333333333332	83.0125000000003	89.6999999999998
White-bellied Sholakili	2	1411.75	1411.75	1411.75	1386.46666666667	1378.7	1409.8	25.2833333333333	1.95000000000005	33.0500000000002	1	1672.125	1659	1685.25	1903.33333333333	1898.54166666667	1911.5	-231.208333333333	-246	-213.291666666667	2	2191.1625	2188.0125	2196.01666666667	2175	2175	2175	16.1624999999999	13.0124999999998	21.0166666666664
