"elev_round","maxTemp_May_mean","maxTemp_Dec_mean","minTemp_May_mean","minTemp_Dec_mean","maxTemp_May_ci","maxTemp_Dec_ci","minTemp_May_ci","minTemp_Dec_ci","tempRange_Dec","tempRange_June"
0,31.2827804107425,31.4124013304145,25.007108998713,21.753554523462,0.0461200906655346,0.059312914129991,0.0456862783765481,0.056020709686314,9.65884680695255,6.27567141202954
100,31.1616599566429,31.0703159023934,24.2616444741583,21.0266800659217,0.0242913102288971,0.0256875399310292,0.016654189347468,0.0196648587457846,10.0436358364716,6.90001548248461
200,31.5730240549828,30.4327105025655,23.8127147700778,20.2791451756487,0.0571834298009572,0.0350336963591744,0.0213328781004263,0.020012745810218,10.1535653269168,7.76030928490498
300,33.0328421800107,28.966563102049,23.8558938405494,19.4579886536858,0.0660591226630619,0.0316835029971604,0.0225465833796999,0.0150573509013947,9.50857444836322,9.17694833946127
400,32.6898779612347,28.4885678479591,23.3568377371581,18.8794687607266,0.0604844402377285,0.0272934468838737,0.0219923444042684,0.0148422846662534,9.60909908723249,9.33304022407668
500,31.8984464431725,28.5213164132244,22.6430826179336,18.128511863328,0.0513189594194916,0.0290346157926506,0.0171854955919163,0.0151571945457662,10.3928045498964,9.25536382523893
600,31.176513954713,28.3383938850134,22.1825750689434,17.6586045325964,0.0349705963894275,0.0223810990842473,0.0107733812611911,0.0136792105880445,10.679789352417,8.99393888576963
700,30.6316221765914,27.3914647300141,21.4445790509505,16.6919301639429,0.0426858463640187,0.024373949427342,0.0141509318128487,0.0144380790029167,10.6995345660712,9.18704312564085
800,29.5721583652618,26.5047041336932,20.6305165223844,15.8602028939171,0.0423670793122335,0.0216305189420401,0.0137909817705188,0.0142238383564422,10.6445012397761,8.94164184287742
900,28.9996323979904,25.9406261523555,19.9849956887798,15.1593248171924,0.0340518053825012,0.0188205773392553,0.0111851445197978,0.0124035528206255,10.7813013351631,9.01463670921069
1000,28.4596412556054,25.2485239106622,19.4715620377317,14.6906390001243,0.0416060341538016,0.026809833090428,0.0130808278508808,0.0164241134056353,10.5578849105379,8.9880792178737
1100,27.6382912379171,24.3867321472358,18.8485656270811,14.2129560389696,0.053964566626117,0.0350407947988881,0.0164580312217765,0.0245031533052486,10.1737761082663,8.78972561083592
1200,27.3934098851722,23.4149525919022,18.2917373969563,13.4900399492314,0.0657154062159766,0.0479543727790866,0.019501398578814,0.0312545796158983,9.92491264267082,9.10167248821592
1300,26.6730769230769,22.6380608830696,17.7724359020209,12.9895833310408,0.0770104566135379,0.0600291241855764,0.0271758037619509,0.0418861518070786,9.6484775520288,8.90064102105605
1400,25.9460784313725,21.8770833295934,17.1731617684458,12.4378676449551,0.0936898993428276,0.0655095221188174,0.0382865537510951,0.0509592252385802,9.4392156846383,8.77291666292677
1500,25.2752136752137,21.204871811826,16.534102490417,11.9000854410677,0.118966101089472,0.0706767836975789,0.0503858491992946,0.0617051827679557,9.30478637075832,8.74111118479671
1600,24.4468085106383,20.5033688173226,15.8281914376198,11.3436170233057,0.123336552389404,0.060720582005684,0.0470832612329929,0.0595815503946412,9.15975179401695,8.6186170730185
1700,23.9101382488479,19.8831797349288,15.2430875444192,10.7082949343914,0.129902229434506,0.0714819604082459,0.0503139544434774,0.0679867223505559,9.17488480053739,8.66705070442868
1800,23.2386363636364,19.1729545983401,14.5518181995912,10.0540909095244,0.119989082851333,0.0668838182599209,0.038928068110281,0.0619975680838459,9.11886368881572,8.68681816404516
1900,22.5547263681592,18.5524875821166,13.9370646903764,9.44328357093963,0.126667704945819,0.0637862880231645,0.0397642031941644,0.0667499582635731,9.10920401117695,8.61766167778281
2000,21.6928934010152,18.0487309421985,13.2758883050251,8.82233500480652,0.107963945117747,0.0610818594764454,0.037044938912373,0.0615993649373335,9.22639593739195,8.41700509599018
2100,20.7839335180055,17.5588642500774,12.5342105247307,8.16578948927058,0.0952831809690312,0.0719244810373718,0.0344540338270323,0.0598245527344489,9.39307476080686,8.2497229932748
2200,20.2005347593583,16.84090905776,11.7941176215595,7.4280748647802,0.0944503338780515,0.0707563964570692,0.0327214452046536,0.0566737605066235,9.41283419297978,8.40641713779878
2300,19.3181818181818,16.307437987367,11.1429752042471,6.78016528413315,0.127420806195316,0.0837194605681744,0.0373486561491345,0.0591117395436587,9.52727270323383,8.17520661393473
2400,18.7169811320755,15.7943396478329,10.5405660305383,6.19339622641509,0.171793815214091,0.122109797442999,0.0599428891619724,0.0941825091936956,9.60094342141781,8.17641510153716
2500,18.1666666666667,15.4299999872843,10.1033333142598,5.65999997456869,0.283221415169585,0.215810918660526,0.142434603881745,0.225603878326688,9.77000001271566,8.06333335240682
