species,LONGITUDE,LATITUDE
species,74.5169229,14.6702635
species,74.5174807,14.1463892
species,74.5203817,14.4215996
species,74.5218871,14.997414
species,74.5239212,14.3877735
species,74.526969,14.852966
species,74.5278679,14.5200188
species,74.5284015,14.5105449
species,74.5296067,14.3291833
species,74.534946,14.921102
species,74.5410112,14.5164805
species,74.5414123,14.3409011
species,74.5431684,14.3072313
species,74.5448286,14.8667433
species,74.5512063,14.5993253
species,74.5516251,14.3378701
species,74.5540551,14.9047745
species,74.5541711,14.3155156
species,74.5546698,14.3131937
species,74.559434,14.3442718
species,74.5625011,14.0887874
species,74.562752,14.881968
species,74.5632092,14.5241032
species,74.5634,14.5922
species,74.5649248,14.5905044
species,74.5653,14.6004
species,74.5667817,14.52048
species,74.5669105,14.5899281
species,74.5671768,14.3480725
species,74.5717835,14.9839673
species,74.5741786,14.33669
species,74.5760707,14.8869786
species,74.5766115,14.919496
species,74.5834633,14.2459975
species,74.5845177,14.9504903
species,74.5853424,14.32601
species,74.5867042,14.4345092
species,74.5867437,14.6744734
species,74.5871317,14.246445
species,74.5885594,14.2442798
species,74.5997858,14.7308919
species,74.6085928,14.4384794
species,74.6111906,14.6593662
species,74.6129985,14.2394593
species,74.6399656,14.4448264
species,74.6415797,14.4422415
species,74.643151,15.081018
species,74.6437617,14.3423233
species,74.644979,15.082232
species,74.6456928,14.5298132
species,74.6465796,15.0788031
species,74.6481726,14.5303321
species,74.648409,15.0828087
species,74.6494469,13.9430597
species,74.65011,14.5287451
species,74.6517897,13.9571935
species,74.6519279,14.2374297
species,74.6524855,14.4513977
species,74.6543741,15.1321188
species,74.655039,14.609062
species,74.6552489,13.8996402
species,74.6564035,14.530758
species,74.6577101,14.705961
species,74.6592754,14.3952559
species,74.6636224,15.1205085
species,74.6648026,14.2288605
species,74.6661366,14.2519834
species,74.6671192,14.1776608
species,74.668183,14.362981
species,74.6700309,15.0014481
species,74.67269,14.06653
species,74.6732865,13.8492067
species,74.6761407,14.9885233
species,74.6775,14.991111
species,74.6781389,14.6044918
species,74.6789432,14.5785625
species,74.682886,14.8506269
species,74.688275,14.083704
species,74.6906319,14.4624776
species,74.6932538,14.4626213
species,74.6955195,14.4694051
species,74.696074,14.978416
species,74.6963383,14.3776027
species,74.6974531,14.7332217
species,74.6986152,14.3775546
species,74.6995626,14.4577426
species,74.7007961,14.5849203
species,74.7010377,13.9843239
species,74.7016538,14.3930781
species,74.70203,14.95613
species,74.7025232,14.9622199
species,74.7027033,14.787585
species,74.7028021,14.9281603
species,74.7040915,14.9633598
species,74.70526,14.834918
species,74.7054872,14.9602064
species,74.7057302,14.3909795
species,74.7066374,14.2737259
species,74.7067523,14.9288207
species,74.7076918,14.3858123
species,74.7080927,14.8576448
species,74.7084582,14.9261475
species,74.7093608,14.9539682
species,74.7102326,14.8461212
species,74.7118163,14.2755815
species,74.7123873,14.8462808
species,74.7126177,14.9611348
species,74.713144,14.97031
species,74.7142588,14.9684422
species,74.7152405,14.4144802
species,74.7162089,14.761772
species,74.7206363,14.0636212
species,74.725502,14.4095478
species,74.7255217,14.4056814
species,74.7277164,14.2745424
species,74.7278003,14.4060817
species,74.7298503,14.543599
species,74.732142,14.785681
species,74.7336374,14.9577293
species,74.73916,14.88404
species,74.7405962,14.7855619
species,74.7416553,14.5845608
species,74.7451413,14.9644556
species,74.7455625,14.4153225
species,74.7457515,14.4104119
species,74.7459493,14.2739416
species,74.7481535,14.4179125
species,74.748372,15.007496
species,74.7483976,14.0979282
species,74.7489213,14.4095986
species,74.7507134,13.832656
species,74.750912,14.933503
species,74.7523713,14.8497733
species,74.7533171,14.7357129
species,74.7545128,14.4890316
species,74.7547517,14.1062133
species,74.7552681,14.7958178
species,74.7580739,14.4796812
species,74.7582014,14.7340398
species,74.7605383,14.971045
species,74.7646066,14.6309649
species,74.7651118,14.6374116
species,74.7688084,13.811486
species,74.7729304,14.427494
species,74.7738267,14.5680507
species,74.7741291,14.7285187
species,74.7758157,14.5581163
species,74.7770873,14.5275177
species,74.7772638,14.7339294
species,74.77983,14.73288
species,74.7808249,14.7346034
species,74.7816792,14.584997
species,74.783317,14.5790061
species,74.783995,14.701286
species,74.7841038,14.8911533
species,74.7847167,14.5540436
species,74.78591,14.701239
species,74.7874828,14.5593458
